artist,album,date,week_num,meta_score,user_score
The Streets,Original Pirate Material,"October 22, 2002",43,90,87
Tom Waits,Alice,"May 7, 2002",19,90,85
Queens of the Stone Age,Songs For The Deaf,"August 27, 2002",35,89,89
Spoon,Kill The Moonlight,"August 20, 2002",34,88,88
Wilco,Yankee Hotel Foxtrot,"April 23, 2002",17,87,89
The Roots,Phrenology,"November 26, 2002",48,87,86
Iron & Wine,The Creek Drank The Cradle,"September 24, 2002",39,87,87
Super Furry Animals,Rings Around The World,"March 19, 2002",12,86,87
24 Hour Party People,OST,"August 6, 2002",32,86,85
Solomon Burke,Don't Give Up On Me,"July 23, 2002",30,85,80
Songs: Ohia,Didn't It Rain,"March 5, 2002",10,85,83
...And You Will Know Us by the Trail of Dead,Source Tags & Codes,"February 26, 2002",9,85,87
Sleater-Kinney,One Beat,"August 20, 2002",34,85,87
Doves,The Last Broadcast,"June 4, 2002",23,85,88
Boards of Canada,Geogaddi,"February 19, 2002",8,84,88
They Might Be Giants,No!,"June 11, 2002",24,84,88
Out Hud,S.T.R.E.E.T. D.A.D.,"November 19, 2002",47,84,83
The Hives,Veni Vidi Vicious,"April 30, 2002",18,84,87
Tom Waits,Blood Money,"May 7, 2002",19,84,88
The Flaming Lips,Yoshimi Battles The Pink Robots,"July 16, 2002",29,84,88
The Polyphonic Spree,The Beginning Stages Of...,"June 4, 2002",23,84,71
Pulp,We Love Life,"August 20, 2002",34,84,86
Ron Sexsmith,Cobblestone Runway,"October 8, 2002",41,84,88
N.E.R.D,In Search Of... [Second Version],"March 12, 2002",11,83,85
Hayden,Skyscraper National Park,"March 12, 2002",11,83,80
Sigur Rós,(),"October 29, 2002",44,82,88
Neko Case,Blacklisted,"August 20, 2002",34,82,87
Me'Shell Ndegéocello,Cookie: The Anthropological Mix Tape,"June 4, 2002",23,82,87
Bruce Springsteen & The E Street Band,The Rising,"July 30, 2002",31,82,82
Norah Jones,Come Away With Me,"February 26, 2002",9,82,86
Mekons,OOOH! (Out Of Our Heads),"August 20, 2002",34,82,88
Cornelius,Point,"January 22, 2002",4,82,84
16 Horsepower,Folklore,"August 6, 2002",32,82,78
Sonic Youth,Murray Street,"June 25, 2002",26,82,85
Elbow,Asleep In The Back,"January 22, 2002",4,82,86
Missy Elliott,Under Construction,"November 12, 2002",46,81,82
Lemon Jelly,Lost Horizons,"October 8, 2002",41,81,88
Interpol,Turn On The Bright Lights,"August 20, 2002",34,81,90
DJ Shadow,The Private Press,"June 4, 2002",23,81,84
Nas,The Lost Tapes,"September 24, 2002",39,81,86
Röyksopp,Melody A.M.,"October 15, 2002",42,81,87
Nas,God's Son,"December 17, 2002",51,81,87
Mr. Lif,I Phantom,"September 17, 2002",38,81,83
The Herbaliser,Something Wicked This Way Comes,"March 19, 2002",12,81,0
Josh Rouse,Under Cold Blue Stars,"February 19, 2002",8,80,78
Ugly Casanova,Sharpen Your Teeth,"May 21, 2002",21,80,82
Rilo Kiley,The Execution of All Things,"October 1, 2002",40,80,87
Coldplay,A Rush Of Blood To The Head,"August 27, 2002",35,80,89
Godspeed You! Black Emperor,Yanqui U.X.O.,"November 4, 2002",45,80,89
Common,Electric Circus,"December 10, 2002",50,80,85
Korn,Untouchables,"June 11, 2002",24,80,86
Boards of Canada,Twoism [EP],"November 26, 2002",48,80,87
Beck,Sea Change,"September 24, 2002",39,79,89
The Soft Boys,Nextdoorland,"September 24, 2002",39,79,83
Hayden,Live at Convocation Hall,"September 17, 2002",38,79,0
DJ Spooky,Optometry,"July 9, 2002",28,79,0
Silkworm,Italian Platinum,"June 4, 2002",23,79,0
Badly Drawn Boy,About A Boy [Soundtrack],"April 23, 2002",17,79,83
Talib Kweli,Quality,"November 19, 2002",47,79,81
Lambchop,Is A Woman,"February 19, 2002",8,79,84
Clinic,Walking With Thee,"March 5, 2002",10,79,84
Layo & Bushwacka!,Night Works,"September 10, 2002",37,79,0
Wire,Read & Burn 01 [EP],"June 25, 2002",26,78,77
Trey Anastasio,Trey Anastasio,"April 30, 2002",18,78,83
Steve Earle,Jerusalem,"September 24, 2002",39,78,85
"Medeski, Martin & Wood",Uninvisible,"April 9, 2002",15,78,0
The Mendoza Line,Lost in Revelry,"February 19, 2002",8,78,0
Felix Da Housecat,Kittenz And Thee Glitz,"January 22, 2002",4,78,0
Dave Matthews Band,Busted Stuff,"July 16, 2002",29,78,82
Cornershop,Handcream For A Generation,"April 23, 2002",17,78,0
Rye Coalition,On Top,"March 19, 2002",12,78,0
Archer Prewitt,Three,"June 4, 2002",23,77,0
The Sunshine Fix,Age Of The Sun,"January 22, 2002",4,77,0
FC/Kahuna,Machine Says Yes,"November 19, 2002",47,77,0
Imperial Teen,On,"April 9, 2002",15,77,80
System Of A Down,Steal This Album,"November 26, 2002",48,77,87
Bright Eyes,"Lifted or The Story Is in the Soil, Keep Your Ear to the Ground","August 13, 2002",33,77,88
James Taylor,October Road,"August 13, 2002",33,77,88
The Aluminum Group,Happyness,"October 15, 2002",42,77,87
Toni Braxton,More Than A Woman,"November 19, 2002",47,77,81
Pet Shop Boys,Release,"April 23, 2002",17,77,82
Mooney Suzuki,Electric Sweat,"April 9, 2002",15,77,0
Badly Drawn Boy,Have You Fed the Fish?,"November 5, 2002",45,77,81
Elf Power,Creatures,"May 7, 2002",19,77,0
Liars,They Threw Us in a Trench and Stuck a Monument On Top,"August 20, 2002",34,77,82
George Harrison,Brainwashed,"November 19, 2002",47,77,87
Bryan Ferry,Frantic,"May 21, 2002",21,77,87
Tori Amos,Scarlet's Walk,"October 29, 2002",44,76,89
Atmosphere,God Loves Ugly,"June 11, 2002",24,76,87
Low,Trust,"September 24, 2002",39,76,84
Ladytron,Light & Magic,"September 17, 2002",38,76,84
Snoop Dogg,Paid Tha Cost To Be Da Boss,"November 26, 2002",48,76,81
Caribou,Start Breaking My Heart,"November 12, 2002",46,76,89
Ash,Free All Angels,"June 25, 2002",26,76,80
Ralph Stanley,Ralph Stanley,"June 11, 2002",24,76,0
Luna,Romantica,"April 23, 2002",17,76,79
Add N to (X),Loud Like Nature,"October 29, 2002",44,76,84
Jurassic 5,Power In Numbers,"October 8, 2002",41,76,87
Of Montreal,Aldhils Arboretum,"September 24, 2002",39,76,81
Cinerama,Torino,"July 2, 2002",27,76,0
Girls Against Boys,You Can't Fight What You Can't See,"May 14, 2002",20,76,0
Paul Westerberg,Stereo,"April 23, 2002",17,76,88
Nobukazu Takemura,Sign [EP],"January 22, 2002",4,76,0
