artist,album,date,week_num,meta_score,user_score
Kanye West,My Beautiful Dark Twisted Fantasy,"November 22, 2010",47,94,83
Janelle Monáe,The ArchAndroid,"May 18, 2010",20,91,89
Jamey Johnson,The  Guitar Song,"September 14, 2010",37,91,80
Big Boi,Sir Lucious Left Foot: The Son of Chico Dusty,"July 6, 2010",27,90,88
Ali Farka Toure And Toumani Diabate,Ali & Toumani,"February 23, 2010",8,89,85
Bob Dylan,The Witmark Demos: 1962-1964,"October 19, 2010",42,88,77
Black Tambourine,Black Tambourine,"March 30, 2010",13,88,75
Marc Ribot,Silent Movies,"September 28, 2010",39,87,76
Bilal,Airtight's Revenge,"September 14, 2010",37,87,86
Arcade Fire,The Suburbs,"August 3, 2010",31,87,89
Robyn,Body Talk,"November 22, 2010",47,86,89
The Method Actors,This Is Still It,"March 6, 2010",9,86,83
The Roots,How I Got Over,"June 22, 2010",25,86,87
Deerhunter,Halcyon Digest,"September 28, 2010",39,86,86
Konono No. 1,Assume Crash Position,"June 8, 2010",23,86,75
Flying Lotus,Cosmogramma,"May 4, 2010",18,86,88
Sam Amidon,I See The Sign,"April 13, 2010",15,86,86
Kylesa,Spiral Shadow,"October 26, 2010",43,85,77
The Budos Band,The  Budos Band III,"August 10, 2010",32,85,86
Joanna Newsom,Have One On Me,"February 23, 2010",8,85,82
Pavement,Quarantine The Past,"March 9, 2010",10,85,87
The National,High Violet,"May 11, 2010",19,85,89
Ariel Pink's Haunted Graffiti,Before Today,"June 8, 2010",23,85,81
Ghostface Killah,Apollo Kids,"December 21, 2010",51,84,81
LCD Soundsystem,This Is Happening,"May 18, 2010",20,84,86
Sleigh Bells,Treats,"June 1, 2010",22,84,83
The Tallest Man on Earth,Sometimes the Blues is Just a Passing Bird,"November 9, 2010",45,84,86
Jason Moran,Ten,"June 22, 2010",25,84,76
Twin Shadow,Forget,"September 28, 2010",39,84,86
Paul Weller,Wake Up The Nation,"June 1, 2010",22,84,76
Erykah Badu,New Amerykah Part Two: Return of the Ankh,"March 30, 2010",13,83,85
Swans,My Father Will Guide Me Up a Rope to the Sky,"September 21, 2010",38,83,85
Underoath,Ø (Disambiguation),"November 9, 2010",45,83,77
The Walkmen,Lisbon,"September 14, 2010",37,83,87
Grinderman,Grinderman 2,"September 14, 2010",37,83,81
These New Puritans,Hidden,"March 2, 2010",9,83,88
Superchunk,Majesty Shredding,"September 14, 2010",37,83,85
Shining,Blackjazz,"February 2, 2010",5,83,71
Caribou,Swim,"April 20, 2010",16,83,84
Justin Townes Earle,Harlem River Blues,"September 14, 2010",37,83,0
Pantha du Prince,Black Noise,"February 9, 2010",6,83,73
Trash Talk,Eyes & Nines,"June 8, 2010",23,83,75
Circa Survive,Blue Sky Noise,"April 20, 2010",16,83,87
Jack Rose,Luck In The Valley,"February 23, 2010",8,83,57
The Claudia Quintet,Royal Toast,"May 18, 2010",20,83,0
Beach House,Teen Dream,"January 26, 2010",4,82,82
Mary Gauthier,The  Foundling,"May 18, 2010",20,82,0
The Dillinger Escape Plan,Option Paralysis,"March 23, 2010",12,82,73
Laurie Anderson,Homeland,"June 22, 2010",25,82,88
Sharon Van Etten,Epic,"September 21, 2010",38,82,83
I Am Kloot,Sky at Night,"July 13, 2010",28,82,80
Titus Andronicus,The Monitor,"March 9, 2010",10,82,80
Harvey Milk,A Small Turn Of Human Kindness,"May 18, 2010",20,82,65
Aloe Blacc,Good Things,"September 28, 2010",39,82,78
Flying Lotus,Pattern + Grid World,"September 21, 2010",38,82,81
Gilad Atzmon,For the Ghosts Within,"November 9, 2010",45,82,0
Cancer Bats,"Bears, Mayors, Scraps & Bones","April 13, 2010",15,82,72
Perfume Genius,Learning,"June 22, 2010",25,82,83
Far,At Night We Live,"May 25, 2010",21,82,83
Sun City Girls,Funeral Mariachi,"October 26, 2010",43,82,0
Fucked Up,Couple Tracks: Singles 2002-2009,"January 26, 2010",4,82,0
Jazmine Sullivan,Love Me Back,"November 30, 2010",48,82,88
Roky Erickson With Okkervil River,True Love Cast Out All Evil,"April 20, 2010",16,82,83
Four Tet,There Is Love In You,"January 26, 2010",4,82,81
The Black Keys,Brothers,"May 18, 2010",20,82,86
Vijay Iyer,Solo,"September 14, 2010",37,81,0
How to Dress Well,Love Remains,"October 19, 2010",42,81,83
Fionn Regan,The Shadow Of An Empire,"February 8, 2010",6,81,83
Shad,TSOL,"October 5, 2010",40,81,86
Vampire Weekend,Contra,"January 12, 2010",2,81,69
Marnie Stern,Marnie Stern,"October 5, 2010",40,81,81
Avi Buffalo,Avi Buffalo,"April 27, 2010",17,81,82
Women,Public Strain,"September 28, 2010",39,81,87
Josh Ritter,So Runs The World Away,"May 4, 2010",18,81,81
The Fall,Your Future Our Clutter,"May 4, 2010",18,81,88
Laura Marling,I Speak Because I Can,"April 6, 2010",14,81,88
The Books,The Way Out,"July 20, 2010",29,81,83
Yellow Swans,Going Places,"March 2, 2010",9,81,86
Sharon Jones & the Dap-Kings,I Learned The Hard Way,"April 6, 2010",14,81,87
The Unthanks,Here's The Tender Coming,"March 23, 2010",12,81,0
Chicago Underground Duo,Boca Negra,"January 26, 2010",4,81,0
Envy,Recitation,"October 12, 2010",41,81,0
Teenage Fanclub,Shadows,"June 8, 2010",23,81,85
Merle Haggard,I Am What I Am,"April 20, 2010",16,81,0
Laura Veirs,July Flame,"January 12, 2010",2,81,78
Dustin Wong,Infinite Love,"October 5, 2010",40,81,0
Mavis Staples,You Are Not Alone,"September 14, 2010",37,81,0
Micah P. Hinson,Micah P. Hinson and the Pioneer Saboteurs,"May 24, 2010",21,81,0
Guster,Easy Wonderful,"October 5, 2010",40,81,85
Sufjan Stevens,The  Age of Adz,"October 12, 2010",41,80,85
Butch Walker And The Black Widows,I Liked It Better When You Had No Heart,"February 23, 2010",8,80,77
Lindstrom & Christabelle,Real Life Is No Cool,"January 19, 2010",3,80,73
Robert Plant,Band of Joy,"September 14, 2010",37,80,78
Local Natives,Gorilla Manor,"February 16, 2010",7,80,88
