artist,album,date,week_num,meta_score,user_score
Kendrick Lamar,To Pimp A Butterfly,"March 16, 2015",12,96,88
Sufjan Stevens,Carrie & Lowell,"March 31, 2015",14,90,89
Sleater-Kinney,No Cities to Love,"January 20, 2015",4,90,82
Napalm Death,Apex Predator - Easy Meat,"January 27, 2015",5,89,72
Sam Lee,The Fade in Time,"March 16, 2015",12,89,56
Steven Wilson,Hand.Cannot.Erase.,"March 3, 2015",10,89,87
Joanna Newsom,Divers,"October 23, 2015",43,88,81
Courtney Barnett,"Sometimes I Sit And Think, And Sometimes I Just Sit","March 24, 2015",13,88,85
Bring Me the Horizon,That's the Spirit,"September 11, 2015",37,88,71
Mbongwana Star,From Kinshasa,"May 19, 2015",21,88,53
Grimes,Art Angels,"December 11, 2015",50,88,89
James McMurtry,Complicated Game,"February 24, 2015",9,87,82
Julia Holter,Have You in My Wilderness,"September 25, 2015",39,87,86
Jason Isbell,Something More Than Free,"July 17, 2015",29,87,82
John Howard & The Night Mail,John Howard & the Night Mail,"August 21, 2015",34,87,76
Susanne Sundfør,Ten Love Songs,"February 16, 2015",8,87,89
Hiatus Kaiyote,Choose Your Weapon,"May 4, 2015",19,87,85
Hop Along,Painted Shut,"May 4, 2015",19,87,84
Vince Staples,Summertime '06,"June 30, 2015",27,87,86
Björk,Vulnicura,"January 20, 2015",4,87,88
Father John Misty,"I Love You, Honeybear","February 10, 2015",7,87,86
Various Artists,Remembering Mountains: Unheard Songs By Karen Dalton,"May 26, 2015",22,87,72
Jamie xx,In Colour,"June 2, 2015",23,87,87
Dave Rawlings Machine,Nashville Obsolete,"September 18, 2015",38,87,71
Natalie Prass,Natalie Prass,"January 27, 2015",5,86,80
Jlin,Dark Energy,"March 24, 2015",13,86,71
Ashley Monroe,The Blade,"July 24, 2015",30,86,81
Drive-By Truckers,It's Great to Be Alive! [Live],"October 30, 2015",44,86,86
Various Artists,Joy of Living: A Tribute to Ewan Maccoll,"October 30, 2015",44,86,0
Jim O'Rourke,Simple Songs,"May 19, 2015",21,86,84
Donnie Trumpet & The Social Experiment,Surf,"May 29, 2015",22,86,82
Destroyer,Poison Season,"August 28, 2015",35,86,80
Protomartyr,The Agent Intellect,"October 9, 2015",41,85,82
Jazmine Sullivan,Reality Show,"January 13, 2015",3,85,87
Christine and the Queens,Christine and the Queens,"October 16, 2015",42,85,88
The Weather Station,Loyalty,"May 12, 2015",20,85,0
Baroness,Purple,"December 18, 2015",51,85,86
Joan Shelley,Over and Even,"September 4, 2015",36,85,0
Bassekou Kouyate & Ngoni Ba,Ba Power,"May 12, 2015",20,85,63
Pusha T,King Push - Darkest Before Dawn: The Prelude,"December 18, 2015",51,85,83
Floating Points,Elaenia,"November 6, 2015",45,85,85
C Duncan,Architect,"July 17, 2015",29,85,0
Deafheaven,New Bermuda,"October 2, 2015",40,85,87
Stornoway,Bonxie,"April 13, 2015",16,85,76
Levon Vincent,Levon Vincent,"February 10, 2015",7,85,76
Lightning Bolt,Fantasy Empire,"March 24, 2015",13,84,74
Rhiannon Giddens,Tomorrow Is My Turn,"February 10, 2015",7,84,85
Mini Mansions,The Great Pretenders,"March 24, 2015",13,84,88
Haiku Salut,Etch And Etch Deep,"July 31, 2015",31,84,70
Bop English,Constant Bop,"April 14, 2015",16,84,81
Eric Church,Mr. Misunderstood,"November 3, 2015",45,84,78
Allison Moorer,Down to Believing,"March 17, 2015",12,84,0
Miguel,Wildheart,"June 29, 2015",27,84,85
Tame Impala,Currents,"July 17, 2015",29,84,88
Dwight Yoakam,Second Hand Heart,"April 14, 2015",16,84,82
Godspeed You! Black Emperor,"Asunder, Sweet and Other Distress","March 31, 2015",14,84,81
Heather Leigh,I Abused Animal,"November 27, 2015",48,84,0
The Bad Plus,The Bad Plus Joshua Redman,"May 26, 2015",22,84,0
Boz Scaggs,A Fool to Care,"March 31, 2015",14,84,0
BC Camplight,How to Die in the North,"January 20, 2015",4,84,83
Kamasi Washington,The Epic,"May 5, 2015",19,83,87
Gwenno,Y Dydd Olaf,"July 31, 2015",31,83,83
LoneLady,Hinterland,"March 24, 2015",13,83,74
Speedy Ortiz,Foil Deer,"April 21, 2015",17,83,76
Young Fathers,White Men Are Black Men Too,"April 7, 2015",15,83,81
Container,LP [2015],"June 9, 2015",24,83,0
Songhoy Blues,Music in Exile,"February 23, 2015",9,83,73
Gretchen Peters,Blackbirds,"February 10, 2015",7,83,80
Royal Headache,High,"August 21, 2015",34,83,77
Myrkur,M,"August 21, 2015",34,83,87
Wilco,Star Wars,"July 16, 2015",29,83,84
Visionist,Safe,"October 9, 2015",41,83,0
Ryley Walker,Primrose Green,"March 31, 2015",14,83,84
Locrian,Infinite Dissolution,"July 24, 2015",30,83,0
Kurt Vile,B'lieve I'm Goin' Down,"September 25, 2015",39,83,75
Anna von Hausswolff,The Miraculous,"November 13, 2015",46,82,84
Patty Griffin,Servant of Love,"September 25, 2015",39,82,73
Dan Friel,Life,"October 16, 2015",42,82,59
Panda Bear,Panda Bear Meets the Grim Reaper,"January 13, 2015",3,82,80
High on Fire,Luminiferous,"June 16, 2015",25,82,72
Zun Zun Egui,Shackles Gift,"January 27, 2015",5,82,73
"Roebuck ""Pops"" Staples",Don't Lose This,"February 17, 2015",8,82,0
Prurient,Frozen Niagara Falls,"May 12, 2015",20,82,75
Coliseum,Anxiety's Kiss,"May 5, 2015",19,82,0
Bob Dylan,Shadows in the Night,"February 3, 2015",6,82,76
Bill Wells,The Most Important Place in the World,"March 16, 2015",12,82,0
The Pre New,Male Eunuch,"May 11, 2015",20,82,0
Empress Of,Me,"September 11, 2015",37,82,84
Dr. Dre,Compton,"August 7, 2015",32,82,83
Africa Express,Africa Express Presents...Terry Riley's In C Mali,"January 26, 2015",5,82,0
John Grant,"Grey Tickles, Black Pressure","October 9, 2015",41,82,76
M.E.S.H.,Piteous Gate,"July 31, 2015",31,82,0
Mount Eerie,Sauna,"February 3, 2015",6,82,78
Thee Oh Sees,Mutilator Defeated at Last,"May 26, 2015",22,82,85
Zu,Cortar Todo,"March 23, 2015",13,82,0
Gaz Coombes,Matador,"January 26, 2015",5,82,84
Tal National,Zoy Zoy,"April 13, 2015",16,82,0
Deerhunter,Fading Frontier,"October 16, 2015",42,81,84
Sarah Neufeld,Never Were the Way She Was,"April 28, 2015",18,81,76
Lindi Ortega,Faded Gloryville,"August 7, 2015",32,81,68
Samba Touré,Gandadiko,"February 3, 2015",6,81,0
Waxahatchee,Ivy Tripp,"April 7, 2015",15,81,79
No Joy,More Faithful,"June 9, 2015",24,81,75
Evans the Death,Expect Delays,"March 10, 2015",11,81,0
Lady Lamb the Beekeeper,After,"March 3, 2015",10,81,80
Daniel Romano,If I've Only One Time Askin',"July 31, 2015",31,81,0
Holly Herndon,Platform,"May 19, 2015",21,81,79
Tobias Jesso Jr.,Goon,"March 17, 2015",12,81,81
Torres,Sprinter,"May 5, 2015",19,81,81
Laura Marling,Short Movie,"March 24, 2015",13,81,81
Arca,Mutant,"November 20, 2015",47,81,83
Sleaford Mods,Key Markets,"July 24, 2015",30,81,79
Earl Sweatshirt,I Don't Like Shit: I Don't Go Outside,"March 23, 2015",13,81,83
Paul Weller,Saturn's Pattern,"May 19, 2015",21,81,78
Teeth of the Sea,Highly Deadly Black Tarantula,"November 13, 2015",46,81,0
Sunn O))),Kannon,"December 4, 2015",49,81,64
The Internet,Ego Death,"June 29, 2015",27,81,86
Punch Brothers,The Phosphorescent Blues,"January 27, 2015",5,81,80
Dungen,Allas Sak,"September 25, 2015",39,81,72
Wreckless Eric,AmERICa,"November 13, 2015",46,81,75
Hot Chip,Why Make Sense?,"May 19, 2015",21,81,80
Dilly Dally,Sore,"October 9, 2015",41,81,84
Iris DeMent,Trackless Woods,"August 7, 2015",32,81,0
Bill Ryder-Jones,West Kirby Country Primary,"November 6, 2015",45,81,72
Alasdair Roberts,Alasdair Roberts,"January 27, 2015",5,81,0
Blur,The Magic Whip,"April 28, 2015",18,81,84
Ghost Culture,Ghost Culture,"January 20, 2015",4,81,76
Pile,You're Better Than This,"March 3, 2015",10,81,0
Rival Consoles,Howl,"October 16, 2015",42,80,75
Alabama Shakes,Sound & Color,"April 21, 2015",17,80,82
Dornik,Dornik,"August 7, 2015",32,80,0
Low Cut Connie,Hi Honey,"April 21, 2015",17,80,0
The Unthanks,Mount The Air,"February 17, 2015",8,80,0
Shamir,Ratchet,"May 19, 2015",21,80,80
Roots Manuva,Bleeds,"October 30, 2015",44,80,84
Motörhead,Bad Magic,"August 28, 2015",35,80,85
Róisín Murphy,Hairless Toys,"May 12, 2015",20,80,84
Ezra Furman,Perpetual Motion People,"July 10, 2015",28,80,85
Rabit,Communion,"October 30, 2015",44,80,0
Dave Alvin,Lost Time,"September 18, 2015",38,80,0
JD McPherson,Let the Good Times Roll,"February 10, 2015",7,80,0
Iron Maiden,The Book of Souls,"September 4, 2015",36,80,86
Richard Thompson,Still,"June 23, 2015",26,80,0
Darren Hayman,Chants for Socialists,"February 2, 2015",6,80,0
The Charlatans UK,Modern Nature,"January 26, 2015",5,80,79
Ought,Sun Coming Down,"September 18, 2015",38,80,83
Sauna Youth,Distractions,"June 8, 2015",24,80,0
Everything Everything,Get to Heaven,"June 22, 2015",26,80,86
Beach House,Thank Your Lucky Stars,"October 16, 2015",42,80,86
Graham Parker & the Rumour,Mystery Glue,"May 19, 2015",21,80,0
Majical Cloudz,Are You Alone?,"October 16, 2015",42,80,74
Here We Go Magic,Be Small,"October 16, 2015",42,80,0
Matthew E. White,Fresh Blood,"March 10, 2015",11,80,76
