artist,album,date,week_num,meta_score,user_score
D'Angelo,Black Messiah,"December 15, 2014",51,95,88
Behemoth,The Satanist,"February 4, 2014",6,92,85
The Hotelier,"Home, Like Noplace Is There","February 25, 2014",9,91,84
St. Vincent,St. Vincent,"February 25, 2014",9,89,86
Run the Jewels,RTJ2,"October 27, 2014",44,89,88
Swans,To Be Kind,"May 13, 2014",20,88,87
Pallbearer,Foundations of Burden,"August 19, 2014",34,88,80
La Dispute,Rooms of the House,"March 18, 2014",12,88,84
Big K.R.I.T.,Cadillactica,"November 10, 2014",46,88,88
Flying Lotus,You're Dead!,"October 7, 2014",41,88,86
Rosanne Cash,The River & the Thread,"January 14, 2014",3,87,75
Perfume Genius,Too Bright,"September 23, 2014",39,87,83
The Delines,Colfax,"June 17, 2014",25,87,75
Fennesz,Bécs,"April 29, 2014",18,86,84
Sharon Van Etten,Are We There,"May 27, 2014",22,86,86
Aphex Twin,Syro,"September 23, 2014",39,86,81
Miranda Lambert,Platinum,"June 3, 2014",23,86,81
FKA twigs,LP1,"August 12, 2014",33,86,85
Indian,From All Purity,"January 21, 2014",4,86,77
Wild Beasts,Present Tense,"February 25, 2014",9,86,84
Leonard Cohen,Popular Problems,"September 23, 2014",39,86,79
The War on Drugs,Lost In the Dream,"March 18, 2014",12,86,87
Steve Gunn,Way Out Weather,"October 7, 2014",41,86,85
The Marmozets,The  Weird and Wonderful,"September 29, 2014",40,86,86
Sun Kil Moon,Benji,"February 11, 2014",7,85,85
Jennifer Castle,Pink City,"September 2, 2014",36,85,82
YOB,Clearing the Path to Ascend,"September 2, 2014",36,85,84
Jenny Hval & Susanna,Meshes of Voice,"August 19, 2014",34,84,87
Godflesh,A World Lit Only by Fire,"October 7, 2014",41,84,76
Lee Ann Womack,The Way I'm Livin',"September 23, 2014",39,84,78
Agalloch,The Serpent & the Sphere,"May 13, 2014",20,84,82
Angel Olsen,Burn Your Fire for No Witness,"February 18, 2014",8,84,85
Ex Hex,Rips,"October 7, 2014",41,84,81
Caribou,Our Love,"October 7, 2014",41,84,81
Ben Frost,A U R O R A,"May 27, 2014",22,84,78
Shellac,Dude Incredible,"September 16, 2014",38,84,77
Ought,More Than Any Other Day,"April 29, 2014",18,84,86
Lee Fields,Emma Jean,"June 3, 2014",23,84,83
Angaleena Presley,American Middle Class,"October 14, 2014",42,84,0
Strand of Oaks,Heal,"June 24, 2014",26,83,81
Electric Wizard,Time to Die,"September 30, 2014",40,83,77
The Bug,Angels & Devils,"August 26, 2014",35,83,72
Marissa Nadler,July,"February 4, 2014",6,83,86
Clark,Clark,"November 4, 2014",45,83,82
Andy Stott,Faith in Strangers,"November 18, 2014",47,83,82
Gazelle Twin,Unflesh,"September 23, 2014",39,83,86
Jolie Holland,Wine Dark Sea,"May 20, 2014",21,83,0
Young Fathers,Dead,"February 4, 2014",6,83,78
Douglas Dare,Whelm,"May 13, 2014",20,83,87
Moodymann,Moodymann,"January 27, 2014",5,83,66
Total Control,Typical System,"June 24, 2014",26,83,70
Lucinda Williams,Down Where the Spirit Meets the Bone,"September 30, 2014",40,83,83
Protomartyr,Under Color of Official Right,"April 8, 2014",15,83,83
tUnE-yArDs,Nikki Nack,"May 6, 2014",19,83,80
Sunn O))),Soused,"October 21, 2014",43,83,74
PUP,PUP,"April 8, 2014",15,83,82
Fear of Men,Loom,"April 22, 2014",17,83,76
Manic Street Preachers,Futurology,"July 7, 2014",28,83,83
Mr Twin Sister,Mr Twin Sister,"September 23, 2014",39,83,79
Sidiki Diabate,Toumani & Sidiki,"May 19, 2014",21,83,0
Carla Bozulich,Boy,"March 4, 2014",10,83,60
Against Me!,Transgender Dysphoria Blues,"January 21, 2014",4,82,80
The Soft Pink Truth,Why Do the Heathen Rage?,"June 17, 2014",25,82,0
Reigning Sound,Shattered,"July 15, 2014",29,82,76
Joyce Manor,Never Hungover Again,"July 22, 2014",30,82,83
Happyness,Weird Little Birthday,"June 16, 2014",25,82,79
Owen Pallett,In Conflict,"May 27, 2014",22,82,83
Future Islands,Singles,"March 25, 2014",13,82,86
Weyes Blood,The Innocents,"October 21, 2014",43,82,80
Eric Church,The Outsiders,"February 11, 2014",7,82,77
Mac DeMarco,Salad Days,"April 1, 2014",14,82,87
Bing & Ruth,Tomorrow Was the Golden Age,"October 14, 2014",42,82,0
These New Puritans,Field of Reeds,"March 4, 2014",10,82,84
Vashti Bunyan,Heartleap,"October 7, 2014",41,82,87
Freddie Gibbs,Piñata,"March 18, 2014",12,82,86
The Antlers,Familiars,"June 17, 2014",25,82,82
Young Widows,Easy Pain,"May 13, 2014",20,82,0
Blank Realm,Grassed Inn,"January 14, 2014",3,82,74
Tony Allen,Film of Life,"October 14, 2014",42,82,0
A Sunny Day in Glasgow,Sea When Absent,"June 24, 2014",26,82,82
The Ghost of a Saber Tooth Tiger,Midnight Sun,"April 29, 2014",18,82,84
Neneh Cherry,Blank Project,"February 25, 2014",9,82,77
Laura Cantrell,No Way There from Here,"January 28, 2014",5,82,0
